time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-31T01:11:19.120Z,6.9098,125.1559,10,6.5,mww,,19,0.449,0.75,us,us700061e9,2019-11-06T21:13:07.648Z,"0km NW of Bulatukan, Philippines",earthquake,6,1.7,0.048,42,reviewed,us,us
2019-10-29T01:04:44.738Z,6.8016,125.0401,15.32,6.6,mww,,31,0.597,1.27,us,us6000645n,2019-11-03T03:23:21.384Z,"14km E of Bual, Philippines",earthquake,5.3,2.8,0.043,52,reviewed,us,us
2019-10-16T11:37:06.046Z,6.7124,125.0046,14.12,6.4,mww,,33,0.671,0.86,us,us70005ulm,2019-10-30T20:18:54.842Z,"7km ENE of Columbio, Philippines",earthquake,6.3,3.8,0.055,32,reviewed,us,us
2019-09-29T02:02:51.935Z,5.6929,126.5495,73,6.2,mww,,16,1.673,1.3,us,us70005nbb,2019-10-25T23:18:20.792Z,"84km SSE of Pondaguitan, Philippines",earthquake,2.6,1.8,0.041,58,reviewed,us,us
2019-07-26T23:37:58.444Z,20.8373,121.9744,9,6,mww,,23,2.138,0.75,us,us60004w8x,2019-10-11T20:12:37.040Z,"14km ENE of Itbayat, Philippines",earthquake,6.4,1.7,0.055,32,reviewed,us,us
2019-05-31T10:12:32.876Z,6.2795,126.479,98.72,6.1,mww,,26,1.189,0.74,us,us70003tl7,2019-08-24T21:17:39.040Z,"34km ESE of Pondaguitan, Philippines",earthquake,6.2,4.6,0.048,41,reviewed,us,us
2019-04-23T05:37:53.147Z,11.7547,125.2013,56,6.4,mww,,15,4.67,1.07,us,us70003aj3,2019-07-13T18:42:34.040Z,"17km ESE of Tutubigan, Philippines",earthquake,7,1.9,0.042,54,reviewed,us,us
2019-04-22T09:11:12.013Z,14.9538,120.5149,21.84,6.1,mww,,20,0.94,1.01,us,us70003a63,2019-07-07T05:56:29.909Z,"3km SSW of Floridablanca, Philippines",earthquake,6.3,3.7,0.035,77,reviewed,us,us
2019-03-08T15:06:12.620Z,10.384,126.006,30,6,mww,,102,3.32,0.92,us,us1000jccx,2019-05-24T21:21:17.040Z,"40km N of Santa Monica, Philippines",earthquake,8.5,1.7,0.043,51,reviewed,us,us
2018-12-29T03:39:09.740Z,5.8983,126.9209,60.21,7,mww,,21,1.769,1.45,us,us2000iyta,2019-10-29T16:20:14.141Z,"96km ESE of Pondaguitan, Philippines",earthquake,6.1,3.2,0.038,67,reviewed,us,us
2018-11-04T07:55:29.280Z,7.7599,123.867,600.71,6,mww,,22,1.831,0.6,us,us2000i6mv,2019-01-21T14:29:46.040Z,"10km SSE of Sapad, Philippines",earthquake,8.9,3.3,0.036,74,reviewed,us,us
2018-09-08T07:16:49.620Z,7.2377,126.4779,10,6.2,mww,,30,0.907,0.92,us,us2000haxi,2019-10-29T16:16:19.439Z,"7km WNW of Manay, Philippines",earthquake,6.1,1.8,0.043,52,reviewed,us,us
2018-05-05T06:19:05.040Z,14.5708,123.9192,18,6.1,mww,,21,2.928,0.98,us,us1000dym9,2018-07-27T20:20:29.040Z,"64km NNW of Pandan, Philippines",earthquake,4.4,1.8,0.055,32,reviewed,us,us
2018-04-05T03:53:38.410Z,6.8325,126.7785,34,6,mww,,17,1.213,0.82,us,us2000dus5,2018-06-30T01:11:29.040Z,"43km ESE of Tarragona, Philippines",earthquake,7.3,1.8,0.06,27,reviewed,us,us
2017-08-11T05:28:25.790Z,14.0065,120.7391,172,6.2,mww,,17,0.214,0.81,us,us2000a77i,2017-10-25T00:38:08.040Z,"1km SE of Tuy, Philippines",earthquake,6.6,1.9,0.045,47,reviewed,us,us
2017-07-06T08:03:57.550Z,11.1269,124.6286,9,6.5,mww,,30,4.139,0.65,us,us1000976a,2017-10-03T00:47:51.040Z,"2km S of Lim-oo, Philippines",earthquake,6.9,1.8,0.047,44,reviewed,us,us
2017-05-20T01:06:14.250Z,9.3818,123.9537,533,6,mww,,28,2.804,0.99,us,us10008tp0,2017-08-05T03:32:12.040Z,"25km S of Alburquerque, Philippines",earthquake,8,1.9,0.042,55,reviewed,us,us
2017-04-28T20:23:17.260Z,5.5043,125.0658,26,6.9,mww,,14,1.636,0.99,us,us10008ls4,2017-08-05T00:39:03.876Z,"31km SW of Burias, Philippines",earthquake,6.6,1.8,0.044,49,reviewed,us,us
2017-02-10T14:03:43.920Z,9.9071,125.4516,15,6.5,mww,,36,2.822,0.95,us,us20008ixa,2017-05-25T15:03:39.578Z,"10km N of Mabua, Philippines",earthquake,5.2,1.7,,,reviewed,us,us
2017-01-10T06:13:48.140Z,4.4782,122.6171,627.17,7.3,mww,,18,3.813,1.05,us,us10007s9c,2017-05-07T17:42:08.352Z,"189km SSE of Tabiauan, Philippines",earthquake,8.5,3,,,reviewed,us,us
2016-09-23T22:53:10.400Z,6.5717,126.4918,65,6.3,mww,,13,1.032,0.93,us,us10006s4v,2016-12-14T03:17:45.040Z,"36km SE of Tamisan, Philippines",earthquake,2.3,1.8,,,reviewed,us,us
2016-04-13T18:21:52.730Z,7.7917,122.0231,17,6,mww,,19,3.598,0.93,us,us20005hux,2017-10-11T21:24:29.524Z,"15km NW of Siocon, Philippines",earthquake,3.3,1.6,,,reviewed,us,us
2015-07-03T06:43:21.540Z,10.1691,125.8907,32,6.1,mww,,19,3.095,1.03,us,us10002n6s,2017-10-11T21:09:06.763Z,"23km NW of Santa Monica, Philippines",earthquake,7.2,1.8,,,reviewed,us,us
2014-12-29T09:29:37.390Z,8.6341,121.5213,8,6.1,mww,,35,4.31,1.17,us,usc000taik,2016-11-10T21:45:54.434Z,"109km SSE of Cagayancillo, Philippines",earthquake,6.9,1.7,,,reviewed,us,us
2014-12-02T05:11:31.000Z,6.1572,123.1261,614,6.6,mww,,9,2.6,1.32,us,usb000t20t,2016-11-10T21:45:33.845Z,"106km WSW of Sangay, Philippines",earthquake,8.6,1.9,,,reviewed,us,us
2014-07-14T07:59:57.290Z,5.7144,126.4776,20,6.3,mww,,44,1.615,1.07,us,usb000rsr5,2015-01-30T09:58:05.450Z,"78km SSE of Pondaguitan, Philippines",earthquake,,1.7,,,reviewed,us,us
2014-05-15T10:16:42.020Z,9.3832,122.0604,15.46,6.3,mww,,15,4.172,0.97,us,usb000qniy,2017-10-11T20:51:49.722Z,"51km WSW of Alim, Philippines",earthquake,,2.9,,,reviewed,us,us
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,mww,,12,3.144,1.3,us,usb000kdb4,2017-11-14T15:39:03.247Z,"4km SE of Sagbayan, Philippines",earthquake,,2.9,,,reviewed,us,us
2013-02-16T04:37:36.220Z,5.812,125.748,105,6.1,mww,513,17.6,,0.76,us,usc000f8be,2015-06-30T16:59:04.052Z,"16km SE of Caburan, Philippines",earthquake,,,,,reviewed,us,us
2012-11-02T18:17:32.730Z,9.219,126.161,37,6.1,mww,527,11.5,,1.04,us,usp000juy1,2017-10-11T20:17:13.793Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2012-10-17T04:42:30.400Z,4.232,124.52,326,6,mww,513,19.5,,0.99,us,usp000ju30,2015-06-30T16:59:04.007Z,"Celebes Sea",earthquake,,3.4,,,reviewed,us,us
2012-08-31T12:47:33.380Z,10.811,126.638,28,7.6,mww,682,10.2,,1.02,us,usp000jr83,2018-10-17T20:37:05.687Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2012-02-06T10:10:19.850Z,9.885,123.095,9,6,mww,335,24.9,,0.99,us,usp000jek9,2017-10-11T19:58:59.178Z,"Negros - Cebu region, Philippines",earthquake,,,,,reviewed,us,us
2012-02-06T03:49:12.520Z,9.999,123.206,11,6.7,mww,572,11.1,,1.07,us,usp000jejw,2017-04-26T18:12:55.816Z,"Negros - Cebu region, Philippines",earthquake,,,,,reviewed,us,us
2011-11-30T00:27:06.990Z,15.455,118.999,9,6,mww,370,11.5,,1.01,us,usp000jbmj,2015-06-30T16:59:03.914Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2011-07-11T20:47:04.300Z,9.509,122.175,19,6.4,mww,401,14.5,,1.26,us,usp000j4p4,2017-04-13T22:26:32.733Z,"Negros, Philippines",earthquake,,,,,reviewed,us,us
2011-03-20T08:26:09.580Z,18.994,121.246,27,6,mww,392,28.5,,1.1,us,usp000hy18,2015-06-30T16:59:03.808Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,us
2011-02-10T14:39:27.710Z,4.195,122.974,523.2,6.5,mww,488,11.4,,1.09,us,usp000huab,2015-06-30T16:59:03.785Z,"Celebes Sea",earthquake,,,,,reviewed,us,us
2010-07-29T07:31:56.240Z,6.548,123.222,618,6.6,mwc,179,30.1,,1.43,us,usp000hh3f,2016-11-10T02:31:12.251Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2010-07-24T05:35:01.060Z,6.218,123.519,553,6.6,mwc,380,18.8,,1.12,us,usp000hgnj,2016-11-10T02:31:04.205Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,gcmt
2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5,mwc,441,17.5,,0.82,us,usp000hgmq,2017-11-13T19:16:21.328Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,gcmt
2010-07-23T22:51:11.840Z,6.497,123.48,578,7.6,mwc,340,15.1,,0.91,us,usp000hgmh,2018-09-28T20:00:53.104Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2010-07-23T22:08:11.250Z,6.718,123.409,607.1,7.3,mwc,491,16.5,,0.91,us,usp000hgmd,2018-09-28T19:56:32.818Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2010-05-31T10:16:00.230Z,6.948,124.025,20,6,mwc,234,18.5,,1.06,us,usp000hddw,2017-04-13T22:25:12.099Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,gcmt
2010-03-25T05:29:24.720Z,13.827,120.071,16,6,mwc,260,20.6,,0.88,us,usp000h9yk,2017-04-26T18:10:41.370Z,"Mindoro, Philippines",earthquake,,,,,reviewed,us,gcmt
2009-11-28T18:10:20.630Z,5.326,126.288,38.8,6.1,mwc,221,24.4,,1.03,us,usp000h4hk,2016-11-10T02:20:59.626Z,"Mindanao, Philippines",earthquake,,7.2,,,reviewed,us,gcmt
2009-10-04T10:58:00.170Z,6.74,123.378,620,6.6,mwc,419,11.6,,1.05,us,usp000h2c1,2016-11-10T02:18:01.535Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2009-06-14T05:58:43.270Z,5.361,126.438,35,6.1,mwc,261,19.7,,0.93,us,usp000gy63,2016-11-10T02:13:21.485Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2009-04-19T05:23:25.880Z,4.136,126.678,25,6.1,mwc,237,16.1,,0.9,us,usp000gwbr,2017-04-26T18:09:12.254Z,"Kepulauan Talaud, Indonesia",earthquake,,,,,reviewed,us,us
2009-04-04T05:31:55.480Z,5.149,127.201,48,6.3,mwc,281,15.7,,0.96,us,usp000gvqy,2017-04-26T18:09:08.865Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2008-12-25T03:20:29.350Z,5.752,125.377,206,6.3,mwc,328,19.8,,1.05,us,usp000grdx,2016-11-10T02:05:52.117Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2008-08-15T10:25:16.530Z,12.897,124.319,10,6,mwc,232,32.3,,1.22,us,usp000geqv,2017-04-26T18:08:28.353Z,"Samar, Philippines",earthquake,,,,,reviewed,us,gcmt
2008-07-13T14:58:33.010Z,21.014,121.149,14,6.2,mwc,243,40.8,,1.17,us,usp000gc2b,2016-11-10T01:58:41.861Z,"Taiwan region",earthquake,,,,,reviewed,us,gcmt
2008-06-01T01:57:23.690Z,20.124,121.35,31,6.3,mwc,528,21.4,,0.86,us,usp000g88u,2016-11-10T01:56:44.242Z,"Batan Islands region, Philippines",earthquake,,,,,reviewed,us,gcmt
2008-03-20T14:10:40.400Z,6.192,126.934,45,6.1,mwb,287,19.2,,1.05,us,usp000g1v5,2016-11-10T01:53:16.982Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2008-03-03T14:11:14.620Z,13.351,125.63,24,6.9,mwc,544,25.9,,0.94,us,usp000g0k9,2017-04-26T18:07:55.466Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2008-03-03T13:49:40.420Z,19.913,121.334,10,6,mwc,418,23,,0.89,us,usp000g0k8,2016-11-10T01:52:40.010Z,"Babuyan Islands region, Philippines",earthquake,,,,,reviewed,us,gcmt
2007-08-20T13:46:17.410Z,6.134,127.381,8,6.4,mwc,587,17.9,,1.02,us,usp000fk9n,2016-11-10T01:44:09.760Z,"Philippine Islands region",earthquake,,,,,reviewed,us,gcmt
2007-02-12T12:45:31.700Z,5.561,126.073,24,6.1,mwc,309,31.9,,1.25,us,usp000f4qy,2016-11-10T01:35:27.199Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,gcmt
2006-12-26T12:26:21.140Z,21.799,120.547,10,7.1,mwb,744,29.1,,1,us,usp000f114,2017-11-13T17:24:00.602Z,"Taiwan region",earthquake,,,,,reviewed,us,us
2006-10-24T03:03:45.280Z,4.898,125.295,10,6.1,mwb,167,50.2,,1.33,us,usp000evwc,2016-11-10T01:30:06.566Z,"Kepulauan Sangihe, Indonesia",earthquake,,,,,reviewed,us,us
2006-10-09T10:01:47.400Z,20.654,120.023,14,6.3,mwc,451,30.2,,0.88,us,usp000eus2,2016-11-10T01:29:28.735Z,"Philippine Islands region",earthquake,,,,,reviewed,us,gcmt
2005-11-30T16:53:42.470Z,6.27,124.029,13,6.4,mwc,178,24.8,,1.12,us,usp000e583,2017-04-26T18:05:11.514Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2005-02-15T14:42:25.850Z,4.756,126.421,39.7,6.5,mwc,286,47.3,,0.98,us,usp000dg73,2017-10-16T22:23:26.203Z,"Kepulauan Talaud, Indonesia",earthquake,,,,,reviewed,us,hrv
2005-02-05T12:23:18.940Z,5.293,123.337,525,7.1,mwc,640,26.4,,1.14,us,usp000dfj2,2017-11-08T18:25:13.163Z,"Celebes Sea",earthquake,,,,,reviewed,us,hrv
2004-10-08T14:36:06.110Z,13.925,120.534,105,6.5,mwb,526,18.3,,0.95,us,usp000d60h,2017-04-26T18:03:00.496Z,"Mindoro, Philippines",earthquake,,,,,reviewed,us,us
2004-09-15T19:10:50.600Z,14.22,120.411,115.4,6,mwb,452,28.5,,0.82,us,usp000d4bh,2016-11-10T00:45:56.137Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,us
2003-11-18T17:14:22.620Z,12.025,125.416,35,6.5,mwb,487,45.9,,0.94,us,usp000cdb4,2017-04-26T18:02:08.612Z,"Samar, Philippines",earthquake,,,,,reviewed,us,us
2003-10-09T22:19:13.850Z,13.755,119.939,33,6.2,mwb,311,43.4,,0.84,us,usp000ca12,2017-04-26T18:02:01.008Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2003-07-01T17:00:22.820Z,12.803,124.898,33,6,mwc,263,32.9,,1.09,us,usp000c1ej,2017-04-26T18:01:33.078Z,"Samar, Philippines",earthquake,,,,,reviewed,us,hrv
2003-07-01T05:52:25.920Z,4.529,122.511,635.4,6,mwb,365,36.8,,1.02,us,usp000c1d9,2016-11-10T00:39:12.406Z,"Celebes Sea",earthquake,,,,,reviewed,us,us
2003-06-26T14:11:44.590Z,12.253,123.85,10,6,mwb,94,80.4,,1.15,us,usp000c10k,2017-04-26T18:01:32.535Z,"Masbate region, Philippines",earthquake,,,,,reviewed,us,us
2003-05-26T23:13:29.720Z,6.761,123.707,565.8,6.9,mwc,544,20.6,,0.97,us,usp000by7z,2016-11-10T00:36:02.642Z,"Moro Gulf, Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2003-02-15T11:01:59.860Z,12.168,124.079,10,6.3,mwc,246,,,1.4,us,usp000bqr6,2017-04-26T18:01:08.585Z,"Samar, Philippines",earthquake,,,,,reviewed,us,hrv
2003-01-06T23:43:50.840Z,15.651,119.658,10,6,mwb,148,,,1.03,us,usp000bn63,2016-11-09T21:36:33.034Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,us
2002-12-30T04:49:08.690Z,7.471,123.407,10,6.3,mwc,138,,,1.26,us,usp000bmq9,2017-04-26T18:01:00.963Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2002-10-12T23:43:12.850Z,15.096,118.504,33,6.1,mwb,251,,,1.14,us,usp000bedp,2016-11-10T00:48:41.270Z,"Philippine Islands region",earthquake,,,,,reviewed,us,us
2002-03-08T18:27:53.190Z,5.871,124.274,23.3,6,mwb,166,,,0.89,us,usp000azy8,2016-11-09T22:02:02.502Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
2002-03-05T21:16:09.130Z,6.033,124.249,31,7.5,mwc,321,,,0.95,us,usp000azqw,2018-10-17T19:44:35.157Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2002-01-01T11:29:22.730Z,6.303,125.65,138.1,6.3,mwc,236,,,0.9,us,usp000avmy,2016-11-10T00:22:15.664Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2001-01-02T07:30:03.780Z,6.749,126.809,33,6.4,mwc,161,,,0.89,us,usp000a729,2016-11-10T00:22:21.664Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2001-01-01T08:54:31.580Z,6.631,126.899,33,6.8,mwc,64,,,0.94,us,usp000a70q,2017-04-26T17:58:12.787Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2001-01-01T06:57:04.170Z,6.898,126.579,33,7.5,mwc,324,,,1.06,us,usp000a70h,2017-11-07T16:40:53.714Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2000-10-05T20:06:14.020Z,6.853,126.822,87.3,6.1,mwc,152,,,0.91,us,usp000a1ag,2016-11-09T23:38:47.421Z,"Mindanao, Philippines",earthquake,,4.1,,,reviewed,us,hrv
2000-07-16T03:21:45.530Z,20.253,122.043,33,6.4,mwc,304,,,1.21,us,usp0009wkm,2017-04-26T17:57:27.304Z,"Batan Islands region, Philippines",earthquake,,,,,reviewed,us,hrv
2000-01-06T21:31:06.220Z,16.095,119.484,33,6.2,mwc,,,,1.51,us,usp0009kub,2016-11-10T00:22:44.490Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,hrv
1999-12-11T18:03:36.450Z,15.766,119.74,33,7.3,mwc,,,,1,us,usp0009jr8,2017-04-26T17:56:40.750Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,hrv
1999-06-18T10:55:25.750Z,5.514,126.639,33,6.4,mwc,,,,0.87,us,usp0009a3f,2016-11-10T00:38:02.577Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
1999-03-04T08:52:01.900Z,5.397,121.937,33,7.1,mwc,,,,1.17,us,usp00093u0,2017-04-26T17:55:39.703Z,"Sulu Archipelago, Philippines",earthquake,,,,,reviewed,us,hrv
1999-02-06T17:45:24.470Z,19.2,121.265,33,6,mwc,,,,0.89,us,usp00092ck,2016-11-10T00:25:31.047Z,"Babuyan Islands region, Philippines",earthquake,,,,,reviewed,us,hrv
1998-09-02T08:37:29.910Z,5.41,126.764,50,6.8,mwc,,,,1.01,us,usp0008u8z,2016-11-10T00:44:47.723Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
1998-08-23T05:36:12.920Z,14.697,120.046,70.1,6.1,mwb,,,,0.9,us,usp0008tqv,2017-04-26T17:54:58.412Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,us
1998-07-24T18:44:04.410Z,21.254,122.019,33,6.1,mwc,,,,1.51,us,usp0008s41,2016-11-10T00:41:07.509Z,"Taiwan region",earthquake,,,,,reviewed,us,hrv
1998-05-23T17:44:47.770Z,8.138,123.726,657.8,6,mwc,,,,0.82,us,usp0008nmf,2016-11-10T00:35:50.765Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
1997-10-06T12:30:05.820Z,9.79,125.779,105.6,6.5,mwb,,,,0.99,us,usp00088mv,2017-04-26T17:54:00.579Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
1997-09-15T13:05:42.700Z,8.098,126.642,50.7,6.2,mwb,,,,1.02,us,usp00087jx,2016-11-10T00:45:59.900Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
